Qiymet,Tarix,Baxısh,Elan,Emlak,Kategoriya,Mertebe,Sahe,Otag sayı,Çıxarısh,İpoteka,Adres,Umumi Mertebe sayi
100000,2024-08-08,24,331723,Bina evi menzil,Köhnə,2,56.0,2,var,,Sumqayıt 13-cü mikrorayon,9
150000,2024-08-08,19,937759,Bina evi menzil,Yeni,3,94.0,3,var,,Sumqayıt 6-cı mikrorayon,10
118000,2024-08-08,19,331755,Bina evi menzil,Yeni,11,91.0,3,var,,Sumqayıt 52-ci məhəllə,14
110000,2024-08-08,29,242661,Bina evi menzil,Yeni,14,47.0,2,var,,Sumqayıt 15-ci məhəllə,15
67000,2024-08-08,33,937665,Bina evi menzil,Yeni,7,47.0,2,yox,,Sumqayıt 76-cı məhəllə,16
119000,2024-08-08,30,331727,Bina evi menzil,Köhnə,2,59.0,2,var,,Sumqayıt 2-ci məhəllə,4
270000,2024-08-08,21,183935,Bina evi menzil,Yeni,11,115.0,3,var,,Sumqayıt Sumqayıt Bulvarı,12
127000,2024-08-08,28,331709,Bina evi menzil,Köhnə,6,86.0,4,var,,Sumqayıt 17-ci mikrorayon,9
108000,2024-08-08,16,288203,Bina evi menzil,Yeni,4,55.0,2,var,,Sumqayıt 15-ci məhəllə,15
125000,2024-08-08,27,331705,Bina evi menzil,Köhnə,5,100.0,4,var,,Sumqayıt 12-ci mikrorayon,5
110000,2024-08-08,15,244699,Bina evi menzil,Yeni,14,60.0,2,var,,Sumqayıt 15-ci məhəllə,15
250000,2024-08-08,20,325450,Bina evi menzil,Yeni,3,117.0,3,var,,Sumqayıt Sumqayıt Bulvarı,9
78000,2024-08-08,31,323292,Bina evi menzil,Köhnə,2,56.0,2,var,,Sumqayıt 17-ci mikrorayon,5
250000,2024-08-08,29,307574,Bina evi menzil,Yeni,6,156.0,4,yox,,Sumqayıt Sumqayıt Bulvarı,12
52000,2024-08-08,45,331693,Bina evi menzil,Yeni,12,55.2,2,yox,,Sumqayıt 9-cu mikrorayon,12
72000,2024-08-08,344,331689,Bina evi menzil,Köhnə,5,54.0,2,var,,Sumqayıt 4-cü mikrorayon,5
95000,2024-08-08,30,331680,Bina evi menzil,Köhnə,1,70.0,3,var,,Sumqayıt 9-cu mikrorayon,9
117000,2024-08-08,26,331657,Bina evi menzil,Yeni,2,55.2,2,var,,Sumqayıt Sumqayıt Bulvarı,10
105000,2024-08-08,23,331632,Bina evi menzil,Köhnə,7,52.0,3,var,,Sumqayıt 15-ci məhəllə,15
91000,2024-08-08,33,331625,Bina evi menzil,Köhnə,4,60.0,2,var,,Sumqayıt 17-ci mikrorayon,5
143000,2024-08-08,20,230999,Bina evi menzil,Köhnə,2,90.0,3,var,,Sumqayıt 2-ci məhəllə,4
75000,2024-08-08,24,230743,Bina evi menzil,Yeni,16,90.0,3,var,,Sumqayıt 9-cu mikrorayon,16
112000,2024-08-08,29,321317,Bina evi menzil,Köhnə,3,63.0,3,var,,Sumqayıt 5-ci mikrorayon,5
125000,2024-08-08,34,331608,Bina evi menzil,Yeni,2,62.0,2,var,,Sumqayıt Sumqayıt Bulvarı,10
34000,2024-08-08,52,331602,Bina evi menzil,Köhnə,2,18.0,1,var,,Sumqayıt 5-ci mikrorayon,5
108000,2024-08-08,25,276627,Bina evi menzil,Köhnə,6,75.0,3,var,,Sumqayıt 10-cu mikrorayon,9
103000,2024-08-08,20,278074,Bina evi menzil,Köhnə,1,80.0,3,var,,Sumqayıt 9-cu mikrorayon,5
84000,2024-08-08,16,209380,Bina evi menzil,Köhnə,1,60.0,2,var,,Sumqayıt 21-ci məhəllə,3
96000,2024-08-08,30,331536,Bina evi menzil,Köhnə,4,36.0,2,var,,Sumqayıt Birləşmiş məhəllə,4
82500,2024-08-08,33,331494,Bina evi menzil,Köhnə,4,36.0,1,var,,Sumqayıt Birləşmiş məhəllə,4
61500,2024-08-08,43,331593,Bina evi menzil,Köhnə,3,32.0,1,var,,Sumqayıt 14-cü məhəllə,4
112000,2024-08-08,37,331587,Bina evi menzil,Köhnə,4,75.0,3,var,,Sumqayıt 13-cü mikrorayon,5
129000,2024-08-08,56,331518,Bina evi menzil,Köhnə,5,90.0,4,var,,Sumqayıt 17-ci mikrorayon,9
63000,2024-08-08,22,313720,Bina evi menzil,Yeni,13,56.0,2,var,,Sumqayıt Sumqayıt şəh.,14
75000,2024-08-08,22,305911,Bina evi menzil,Yeni,8,47.0,2,var,,Sumqayıt 6-cı mikrorayon,13
100000,2024-08-08,26,227937,Bina evi menzil,Köhnə,5,70.0,3,var,,Sumqayıt 1-ci mikrorayon,5
85000,2024-08-08,42,329222,Bina evi menzil,Yeni,8,56.0,2,var,,Sumqayıt 17-ci məhəllə,12
76000,2024-08-08,31,331527,Bina evi menzil,Köhnə,2,58.0,2,var,,Sumqayıt 10-cu mikrorayon,5
110000,2024-08-08,45,331504,Bina evi menzil,Köhnə,2,67.0,3,var,,Sumqayıt 45-ci məhəllə,5
101000,2024-08-08,34,331495,Bina evi menzil,Köhnə,3,72.0,3,var,,Sumqayıt 17-ci mikrorayon,5
54000,2024-08-08,31,331479,Bina evi menzil,Köhnə,4,33.0,1,var,,Sumqayıt Birləşmiş məhəllə,4
75000,2024-08-08,34,271873,Bina evi menzil,Köhnə,2,53.0,2,var,,Sumqayıt 11-ci mikrorayon,5
67500,2024-08-08,22,271858,Bina evi menzil,Köhnə,2,37.0,1,var,,Sumqayıt 9-cu mikrorayon,5
72000,2024-08-08,23,331203,Bina evi menzil,Köhnə,1,53.0,2,var,,Sumqayıt 16-cı mikrorayon,3
120000,2024-08-08,21,330967,Bina evi menzil,Yeni,8,87.0,2,var,,Sumqayıt 9-cu mikrorayon,12
87000,2024-08-08,20,330953,Bina evi menzil,Köhnə,2,44.0,2,var,,Sumqayıt 5-ci mikrorayon,5
54500,2024-08-08,31,330908,Bina evi menzil,Yeni,2,30.0,1,var,,Sumqayıt 10-cu mikrorayon,16
70000,2024-08-08,18,331413,Bina evi menzil,Köhnə,5,47.0,2,var,,Sumqayıt 2-ci mikrorayon,5
120000,2024-08-08,33,331412,Bina evi menzil,Köhnə,3,72.0,3,var,,Sumqayıt 5-ci mikrorayon,5
71000,2024-08-08,17,318387,Bina evi menzil,Köhnə,3,48.0,2,var,,Sumqayıt 2-ci mikrorayon,5
82000,2024-08-08,25,331230,Bina evi menzil,Köhnə,1,72.0,3,var,,Sumqayıt Birləşmiş məhəllə,5
125000,2024-08-08,32,331370,Bina evi menzil,Yeni,13,96.0,3,var,,Sumqayıt 40-cı məhəllə,16
101000,2024-08-08,38,331332,Bina evi menzil,Köhnə,3,72.0,3,var,,Sumqayıt 17-ci mikrorayon,5
52500,2024-08-08,24,324800,Bina evi menzil,Köhnə,4,32.0,1,var,,Sumqayıt 3-cü mikrorayon,5
78000,2024-08-08,18,302820,Bina evi menzil,Köhnə,1,72.0,3,var,,Sumqayıt 8-ci mikrorayon,5
48500,2024-08-08,29,329856,Bina evi menzil,Köhnə,5,32.0,1,var,,Sumqayıt 8-ci mikrorayon,5
68000,2024-08-08,23,331262,Bina evi menzil,Köhnə,5,45.0,2,var,,Sumqayıt 4-cü mikrorayon,5
67000,2024-08-08,52,331238,Bina evi menzil,Köhnə,4,53.0,3,var,,Sumqayıt 13-cü mikrorayon,5
103000,2024-08-08,29,291242,Bina evi menzil,Köhnə,1,76.0,3,var,,Sumqayıt 9-cu mikrorayon,5
72000,2024-08-08,26,933012,Bina evi menzil,Yeni,14,61.0,2,var,,Sumqayıt 18-ci mikrorayon,15
106000,2024-08-08,28,222628,Bina evi menzil,Yeni,5,93.0,3,var,,Sumqayıt Sumqayıt şəh.,14
95000,2024-08-08,27,189756,Bina evi menzil,Köhnə,1,80.0,3,var,,Sumqayıt 17-ci mikrorayon,5
110000,2024-08-08,42,331178,Bina evi menzil,Köhnə,1,95.0,5,var,,Sumqayıt 41-ci məhəllə,5
27000,2024-08-08,51,327846,Bina evi menzil,Köhnə,2,45.0,2,yox,,Sumqayıt 41-ci məhəllə,5
75000,2024-08-08,29,319879,Bina evi menzil,Köhnə,3,46.0,2,var,,Sumqayıt 5-ci mikrorayon,5
91000,2024-08-08,27,205671,Bina evi menzil,Köhnə,3,75.0,3,var,,Sumqayıt 11-ci mikrorayon,5
71000,2024-08-08,27,149590,Bina evi menzil,Köhnə,1,60.0,2,var,,Sumqayıt 12-ci mikrorayon,5
105000,2024-08-08,37,250949,Bina evi menzil,Köhnə,3,72.0,3,var,,Sumqayıt 10-cu mikrorayon,5
83000,2024-08-08,23,311389,Bina evi menzil,Köhnə,8,56.0,2,var,,Sumqayıt 9-cu mikrorayon,9
80000,2024-08-08,39,326785,Bina evi menzil,Köhnə,3,48.0,2,var,,Sumqayıt 7-ci məhəllə,4
200000,2024-08-08,35,243318,Bina evi menzil,Yeni,6,95.0,3,var,,Sumqayıt Sumqayıt Bulvarı,11
100000,2024-08-08,36,311583,Bina evi menzil,Köhnə,5,107.0,5,var,,Sumqayıt 9-cu mikrorayon,5
90000,2024-08-08,32,255181,Bina evi menzil,Köhnə,4,72.0,3,var,,Sumqayıt 14-cü məhəllə,5
76000,2024-08-08,46,328543,Bina evi menzil,Köhnə,1,70.0,3,var,,Sumqayıt 2-ci mikrorayon,5
62000,2024-08-08,62,331043,Bina evi menzil,Köhnə,2,36.0,1,var,,Sumqayıt 12-ci mikrorayon,5
48500,2024-08-08,49,331040,Bina evi menzil,Köhnə,1,30.0,1,var,,Sumqayıt 34-cü məhəllə,4
75000,2024-08-08,28,321044,Bina evi menzil,Köhnə,3,48.0,2,var,,Sumqayıt 5-ci mikrorayon,5
110000,2024-08-08,43,311066,Bina evi menzil,Yeni,4,72.0,3,var,,Sumqayıt 9-cu mikrorayon,15
91000,2024-08-08,35,221527,Bina evi menzil,Köhnə,3,65.0,3,var,,Sumqayıt 11-ci mikrorayon,5
110000,2024-08-08,62,331018,Bina evi menzil,Köhnə,2,65.0,3,var,,Sumqayıt 45-ci məhəllə,5
69000,2024-08-08,46,330012,Bina evi menzil,Köhnə,5,45.0,3,var,,Sumqayıt 4-cü mikrorayon,5
90000,2024-08-08,31,315035,Bina evi menzil,Köhnə,5,75.0,3,var,,Sumqayıt 1-ci mikrorayon,5
68000,2024-08-08,45,330999,Bina evi menzil,Köhnə,5,60.0,3,var,,Sumqayıt 4-cü mikrorayon,5
178000,2024-08-08,41,330997,Bina evi menzil,Yeni,4,88.0,3,var,,Sumqayıt Sumqayıt Bulvarı,10
137000,2024-08-08,36,324982,Bina evi menzil,Yeni,2,50.0,2,var,,Sumqayıt Sumqayıt Bulvarı,7
85000,2024-08-08,75,330779,Bina evi menzil,Yeni,9,60.0,2,yox,,Sumqayıt 16-cı məhəllə,19
71000,2024-08-08,38,324174,Bina evi menzil,Köhnə,3,47.0,2,var,,Sumqayıt 2-ci mikrorayon,5
66000,2024-08-08,37,322568,Bina evi menzil,Köhnə,3,45.0,1,var,,Sumqayıt 5-ci məhəllə,4
102000,2024-08-08,41,330936,Bina evi menzil,Köhnə,4,65.0,3,var,,Sumqayıt 4-cü mikrorayon,5
66000,2024-08-08,40,318873,Bina evi menzil,Yeni,13,46.0,2,var,,Sumqayıt 9-cu mikrorayon,16
78000,2024-08-08,37,330923,Bina evi menzil,Köhnə,1,65.0,3,var,,Sumqayıt 8-ci mikrorayon,5
